Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Outcome,Home_Attack,Home_Defense,Away_Defense,Away_Attack,Home_Exp_Goals,Away_Exp_Goals,Power_Diff
2023-24,Kwara United,Lobi Stars,0,2,Away Win,1.36,0.47,1.64,0.58,1.5,0.52,0.98
2023-24,Kwara United,Niger Tornadoes,0,0,Draw,1.36,0.47,1.49,0.63,1.42,0.55,0.88
2023-24,Kwara United,Plateau United,2,1,Home Win,1.36,0.47,1.55,0.81,1.46,0.64,0.82
2023-24,Kwara United,Remo Stars,3,2,Home Win,1.36,0.47,1.38,0.75,1.37,0.61,0.76
2023-24,Kwara United,Rivers United,0,0,Draw,1.36,0.47,1.15,0.7,1.26,0.58,0.67
2023-24,Kwara United,Shooting Stars,1,1,Draw,1.36,0.47,1.52,0.64,1.44,0.55,0.88
2023-24,Kwara United,Sporting Lagos,2,1,Home Win,1.36,0.47,1.63,0.42,1.49,0.44,1.05
2023-24,Kwara United,Sunshine Stars,1,0,Home Win,1.36,0.47,1.42,0.45,1.39,0.46,0.93
2023-24,Lobi Stars,Abia Warriors,2,0,Home Win,1.45,0.89,1.72,0.8,1.59,0.85,0.74
2023-24,Lobi Stars,Akwa United,1,2,Away Win,1.45,0.89,1.35,0.56,1.4,0.73,0.67
2023-24,Lobi Stars,Bayelsa United,1,1,Draw,1.45,0.89,1.37,0.61,1.41,0.75,0.66
2023-24,Lobi Stars,Bendel Insurance,0,0,Draw,1.45,0.89,1.11,0.61,1.28,0.75,0.53
2023-24,Lobi Stars,Doma United,2,1,Home Win,1.45,0.89,1.64,0.46,1.55,0.68,0.87
2023-24,Lobi Stars,Enugu Rangers,2,1,Home Win,1.45,0.89,1.12,0.68,1.29,0.78,0.5
2023-24,Lobi Stars,Enyimba,1,0,Home Win,1.45,0.89,1.19,0.66,1.32,0.78,0.55
2023-24,Lobi Stars,Gombe United,1,0,Home Win,1.45,0.89,2.0,0.34,1.73,0.62,1.11
2023-24,Lobi Stars,Heartland,1,0,Home Win,1.45,0.89,1.6,0.51,1.53,0.7,0.82
2023-24,Lobi Stars,Kano Pillars,1,1,Draw,1.45,0.89,1.73,0.67,1.59,0.78,0.81
2023-24,Lobi Stars,Katsina United,2,0,Home Win,1.45,0.89,1.46,0.28,1.46,0.59,0.87
2023-24,Lobi Stars,Kwara United,4,3,Home Win,1.45,0.89,1.59,0.59,1.52,0.74,0.78
2023-24,Lobi Stars,Niger Tornadoes,1,0,Home Win,1.45,0.89,1.49,0.63,1.47,0.76,0.71
2023-24,Lobi Stars,Plateau United,2,1,Home Win,1.45,0.89,1.55,0.81,1.5,0.85,0.65
2023-24,Lobi Stars,Remo Stars,3,2,Home Win,1.45,0.89,1.38,0.75,1.42,0.82,0.6
2023-24,Lobi Stars,Rivers United,3,2,Home Win,1.45,0.89,1.15,0.7,1.3,0.8,0.51
2023-24,Lobi Stars,Shooting Stars,2,1,Home Win,1.45,0.89,1.52,0.64,1.49,0.77,0.72
2023-24,Lobi Stars,Sporting Lagos,1,0,Home Win,1.45,0.89,1.63,0.42,1.54,0.66,0.89
2023-24,Lobi Stars,Sunshine Stars,3,2,Home Win,1.45,0.89,1.42,0.45,1.44,0.67,0.77
